Rule 849:
If type Answer AND type Scale Type, then answer scale_ type ?b.

Formal Rule:
Head: ?a  hasAnswerScale_Type  ?b
Body: ?a  type  Answer  ?b  type  Scale_Type

Real Instances from Knowledge Graph (1092 found):

10030106 has answer scale_ type Ordinal, 10030106 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010402 has answer scale_ type Ordinal, 20010402 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010402, 20010402 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010402, 20010402 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010402, 20010402 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30200003, 30200003 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30200003 has answer scale_ type Nominal, 30200003 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30200003, 30200003 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30200003, 30200003 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30170001, 30170001 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30170001 has answer scale_ type Nominal, 30170001 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30170001, 30170001 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30170001, 30170001 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30140001, 30140001 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30140001 has answer scale_ type Nominal, 30140001 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30140001, 30140001 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30140001, 30140001 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30230004, 30230004 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30230004 has answer scale_ type Nominal, 30230004 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30230004, 30230004 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30230004, 30230004 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30170003, 30170003 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30170003 has answer scale_ type Nominal, 30170003 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30170003, 30170003 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30170003, 30170003 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30100004, 30100004 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30100004 has answer scale_ type Nominal, 30100004 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30100004, 30100004 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30100004, 30100004 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30070006, 30070006 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30070006, 30070006 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30070006 has answer scale_ type NullAnswer, 30070006 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30070006, 30070006 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30250003, 30250003 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30250003 has answer scale_ type Nominal, 30250003 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30250003, 30250003 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30250003, 30250003 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30060002, 30060002 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30060002 has answer scale_ type Nominal, 30060002 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30060002, 30060002 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30060002, 30060002 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30070001, 30070001 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30070001 has answer scale_ type Nominal, 30070001 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30070001, 30070001 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30070001, 30070001 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30190006, 30190006 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30190006, 30190006 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30190006 has answer scale_ type NullAnswer, 30190006 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30190006, 30190006 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10030109 has answer scale_ type Ordinal, 10030109 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
10030109, 10030109 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10030109, 10030109 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10030109, 10030109 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30060005, 30060005 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30060005 has answer scale_ type Nominal, 30060005 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30060005, 30060005 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30060005, 30060005 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30190003, 30190003 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30190003 has answer scale_ type Nominal, 30190003 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30190003, 30190003 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30190003, 30190003 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30230003, 30230003 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30230003 has answer scale_ type Nominal, 30230003 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30230003, 30230003 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30230003, 30230003 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30150002, 30150002 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30150002 has answer scale_ type Nominal, 30150002 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30150002, 30150002 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30150002, 30150002 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30140006, 30140006 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30140006 has answer scale_ type Nominal, 30140006 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30140006, 30140006 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30140006, 30140006 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30010006, 30010006 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30010006, 30010006 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30010006 has answer scale_ type NullAnswer, 30010006 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30010006, 30010006 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30200002, 30200002 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30200002 has answer scale_ type Nominal, 30200002 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30200002, 30200002 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30200002, 30200002 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10060104 has answer scale_ type Ordinal, 10060104 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
10060104, 10060104 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10060104, 10060104 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10060104, 10060104 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010905 has answer scale_ type Ordinal, 20010905 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010905, 20010905 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010905, 20010905 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010905, 20010905 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30010002, 30010002 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30010002 has answer scale_ type Nominal, 30010002 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30010002, 30010002 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30010002, 30010002 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30130003, 30130003 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30130003 has answer scale_ type Nominal, 30130003 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30130003, 30130003 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30130003, 30130003 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30030003, 30030003 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30030003 has answer scale_ type Nominal, 30030003 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30030003, 30030003 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30030003, 30030003 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010205 has answer scale_ type Ordinal, 20010205 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010205, 20010205 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010205, 20010205 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010205, 20010205 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10040108 has answer scale_ type Ordinal, 10040108 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
10040108, 10040108 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10040108, 10040108 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10040108, 10040108 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30020002, 30020002 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30020002 has answer scale_ type Nominal, 30020002 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30020002, 30020002 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30020002, 30020002 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10020105 has answer scale_ type Ordinal, 10020105 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
10020105, 10020105 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10020105, 10020105 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10020105, 10020105 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30180001, 30180001 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30180001 has answer scale_ type Nominal, 30180001 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30180001, 30180001 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30180001, 30180001 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010601 has answer scale_ type Ordinal, 20010601 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010601, 20010601 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010601, 20010601 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010601, 20010601 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010604 has answer scale_ type Ordinal, 20010604 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010604, 20010604 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010604, 20010604 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010604, 20010604 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10040110 has answer scale_ type Ordinal, 10040110 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
10040110, 10040110 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10040110, 10040110 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10040110, 10040110 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30110006, 30110006 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30110006, 30110006 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30110006 has answer scale_ type NullAnswer, 30110006 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30110006, 30110006 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30030006, 30030006 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30030006, 30030006 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30030006 has answer scale_ type NullAnswer, 30030006 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30030006, 30030006 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30240004, 30240004 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30240004 has answer scale_ type Nominal, 30240004 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30240004, 30240004 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30240004, 30240004 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10050004, 10050004 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10050004, 10050004 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10050004 has answer scale_ type NullAnswer, 10050004 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
10050004, 10050004 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010105 has answer scale_ type Ordinal, 20010105 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010105, 20010105 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010105, 20010105 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010105, 20010105 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30160004, 30160004 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30160004 has answer scale_ type Nominal, 30160004 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30160004, 30160004 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30160004, 30160004 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30020003, 30020003 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30020003 has answer scale_ type Nominal, 30020003 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30020003, 30020003 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30020003, 30020003 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30200004, 30200004 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30200004 has answer scale_ type Nominal, 30200004 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30200004, 30200004 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30200004, 30200004 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30160002, 30160002 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30160002 has answer scale_ type Nominal, 30160002 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30160002, 30160002 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30160002, 30160002 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010502 has answer scale_ type Ordinal, 20010502 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010502, 20010502 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010502, 20010502 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010502, 20010502 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10040111, 10040111 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10040111, 10040111 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10040111 has answer scale_ type NullAnswer, 10040111 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
10040111, 10040111 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10070102, 10070102 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10070102, 10070102 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
10070102 has answer scale_ type NullAnswer, 10070102 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
10070102, 10070102 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30210001, 30210001 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30210001 has answer scale_ type Nominal, 30210001 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30210001, 30210001 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30210001, 30210001 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010606, 20010606 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010606, 20010606 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
20010606 has answer scale_ type NullAnswer, 20010606 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
20010606, 20010606 has type Answer, Textual has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30110002, 30110002 has type Answer, Ordinal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
30110002 has answer scale_ type Nominal, 30110002 has type Answer, Nominal has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: yes
30110002, 30110002 has type Answer, NullAnswer has type Scale Type The path is classified as NEGATIVE (PCA Confidence 0.2500 < threshold 0.5) Answer: no
